id,distribution,duration,t2y,t5y,t10y,t25y,t50y,t100y,t200y,data_years,name,x_97,y_97,org
466940,LPT3,3,88.1999591,118.8573685,139.2787845,165.2369853,184.7101983,204.3178146,224.209116,55,基隆,324666.56,2780747.18,中央氣象局
466940,LPT3,6,116.817157,156.964335,186.2410977,226.4191711,258.7622231,293.2576287,330.2504796,55,基隆,324666.56,2780747.18,中央氣象局
466940,LPT3,12,161.2186959,217.893895,256.8790462,307.8016053,346.971641,387.2224899,428.8616944,55,基隆,324666.56,2780747.18,中央氣象局
466940,LPT3,24,210.1340039,287.9728049,343.7896061,419.2606449,479.1643665,542.3018961,609.2227605,55,基隆,324666.56,2780747.18,中央氣象局
466940,LPT3,48,261.7493852,360.8684406,432.0475495,528.3780417,604.888697,685.5634009,771.099651,55,基隆,324666.56,2780747.18,中央氣象局
466940,LPT3,72,296.5500881,409.7902204,493.479084,609.5321762,703.7943168,805.0273413,914.2841697,55,基隆,324666.56,2780747.18,中央氣象局
466950,LPT3,1,44.69143108,67.40597817,86.25799432,115.0812769,140.6572275,170.1803352,204.3365301,55,彭佳嶼,358428.47,2835780.85,中央氣象局
466950,LPT3,3,75.95977637,115.808593,154.3874743,222.01638,290.2813393,378.3271545,492.1643583,55,彭佳嶼,358428.47,2835780.85,中央氣象局
466950,LPT3,6,104.5791362,159.9597043,211.5797301,299.0775765,384.6215723,491.9078797,626.7334987,55,彭佳嶼,358428.47,2835780.85,中央氣象局
466950,LPT3,12,140.3707258,214.54142,278.0801019,377.9660088,468.9148086,576.1980385,702.9858349,55,彭佳嶼,358428.47,2835780.85,中央氣象局
466950,LPT3,24,179.1899933,272.301625,346.7986406,456.9842447,551.7296439,658.2115403,778.1776368,55,彭佳嶼,358428.47,2835780.85,中央氣象局
466950,LPT3,48,213.2415989,320.3462474,401.6825437,516.5745989,611.2249239,713.8776339,825.5790422,55,彭佳嶼,358428.47,2835780.85,中央氣象局
466950,LPT3,72,229.7744116,339.8885801,422.2454353,537.1572698,630.8017709,731.4917529,840.1698852,55,彭佳嶼,358428.47,2835780.85,中央氣象局
466990,LN3,1,53.51738985,69.42026252,79.48652459,91.78843708,100.705453,109.4478833,118.099612,98,花蓮,312410.93,2652401.26,中央氣象局
466990,LN3,3,99.08264557,131.8035299,154.5610317,184.3503152,207.2237293,230.6419458,254.7459565,98,花蓮,312410.93,2652401.26,中央氣象局
466990,LN3,6,123.4374563,171.1428882,203.6870442,245.6880915,277.5582009,309.897588,342.9156782,98,花蓮,312410.93,2652401.26,中央氣象局
466990,LN3,12,181.6597189,243.4821732,284.4450289,336.1973813,374.7720085,413.39272,452.3466734,98,花蓮,312410.93,2652401.26,中央氣象局
466990,LN3,24,255.9997663,339.2619013,387.4621987,442.6910131,480.6069485,516.2980981,550.3389343,98,花蓮,312410.93,2652401.26,中央氣象局
466990,LN3,48,325.7055792,442.0743504,513.220799,598.0110224,658.1849411,716.2524726,772.8967968,98,花蓮,312410.93,2652401.26,中央氣象局
466990,LN3,72,364.1572495,492.5404719,569.4420582,659.7475019,723.0426142,783.5551025,842.0872286,98,花蓮,312410.93,2652401.26,中央氣象局
467060,LPT3,1,59.34339456,77.28912449,90.83070483,109.9369163,125.7110787,142.8895849,161.6913912,32,蘇澳,336828.45,2721378.96,中央氣象局
467060,LPT3,3,119.4636061,151.8735354,172.0394715,196.3583909,213.780788,230.7071917,247.316236,32,蘇澳,336828.45,2721378.96,中央氣象局
467060,LPT3,6,157.7776741,207.3385193,240.4660648,282.7800369,314.6969533,346.996407,379.9355223,32,蘇澳,336828.45,2721378.96,中央氣象局
467060,LPT3,12,209.6596443,281.4116717,330.4774308,394.2766732,443.1585479,493.2358735,544.8935666,32,蘇澳,336828.45,2721378.96,中央氣象局
467060,LPT3,24,280.4196086,370.4041094,432.9143555,515.3477696,579.3583191,645.672002,714.8336097,32,蘇澳,336828.45,2721378.96,中央氣象局
